instance_type,time_stump,region,zone,price
m5.xlarge,2019-12-10 19:23,ap-northeast-1,ap-northeast-1c,0.070400
r5d.xlarge,2019-12-10 18:43,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-12-10 09:04,ap-northeast-1,ap-northeast-1c,0.144500
m3.large,2019-12-10 04:42,ap-northeast-1,ap-northeast-1c,0.031700
r3.xlarge,2019-12-10 04:42,ap-northeast-1,ap-northeast-1c,0.068200
m5.large,2019-12-10 04:28,ap-northeast-1,ap-northeast-1c,0.035300
m5.xlarge,2019-12-10 00:10,ap-northeast-1,ap-northeast-1c,0.070500
m3.large,2019-12-09 22:42,ap-northeast-1,ap-northeast-1c,0.031700
m5.large,2019-12-09 21:44,ap-northeast-1,ap-northeast-1c,0.035200
m5.2xlarge,2019-12-09 21:43,ap-northeast-1,ap-northeast-1c,0.144100
m5.xlarge,2019-12-09 19:43,ap-northeast-1,ap-northeast-1c,0.070400
r5d.xlarge,2019-12-09 18:43,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-12-09 11:21,ap-northeast-1,ap-northeast-1c,0.068200
m3.large,2019-12-09 22:42,ap-northeast-1,ap-northeast-1c,0.031700
m5.large,2019-12-09 21:44,ap-northeast-1,ap-northeast-1c,0.035200
m5.2xlarge,2019-12-09 21:43,ap-northeast-1,ap-northeast-1c,0.144100
m5.2xlarge,2019-12-09 20:12,ap-northeast-1,ap-northeast-1c,0.144100
m5.xlarge,2019-12-09 19:43,ap-northeast-1,ap-northeast-1c,0.070400
r5d.xlarge,2019-12-09 18:43,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-12-09 16:54,ap-northeast-1,ap-northeast-1c,0.070400
m5.xlarge,2019-12-09 16:17,ap-northeast-1,ap-northeast-1c,0.070500
m5.2xlarge,2019-12-09 13:59,ap-northeast-1,ap-northeast-1c,0.144000
r3.xlarge,2019-12-09 11:21,ap-northeast-1,ap-northeast-1c,0.068200
m5.2xlarge,2019-12-09 07:59,ap-northeast-1,ap-northeast-1c,0.144100
m5.2xlarge,2019-12-09 01:26,ap-northeast-1,ap-northeast-1c,0.143900
m3.large,2019-12-08 22:42,ap-northeast-1,ap-northeast-1c,0.031700
m5.large,2019-12-08 21:43,ap-northeast-1,ap-northeast-1c,0.035200
r5d.xlarge,2019-12-08 18:43,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-12-08 16:17,ap-northeast-1,ap-northeast-1c,0.070500
m5.2xlarge,2019-12-08 12:28,ap-northeast-1,ap-northeast-1c,0.144500
r3.xlarge,2019-12-08 11:20,ap-northeast-1,ap-northeast-1c,0.068200
m3.large,2019-12-08 22:42,ap-northeast-1,ap-northeast-1c,0.031700
m5.large,2019-12-08 21:43,ap-northeast-1,ap-northeast-1c,0.035200
r5d.xlarge,2019-12-08 18:43,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-12-08 16:17,ap-northeast-1,ap-northeast-1c,0.070500
m5.large,2019-12-08 12:42,ap-northeast-1,ap-northeast-1c,0.035200
m5.2xlarge,2019-12-08 12:28,ap-northeast-1,ap-northeast-1c,0.144500
r3.xlarge,2019-12-08 11:20,ap-northeast-1,ap-northeast-1c,0.068200
m5.2xlarge,2019-12-08 05:47,ap-northeast-1,ap-northeast-1c,0.145000
m3.large,2019-12-07 22:42,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-12-07 22:32,ap-northeast-1,ap-northeast-1c,0.145200
r5d.xlarge,2019-12-07 18:42,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-12-07 16:16,ap-northeast-1,ap-northeast-1c,0.070500
m5.large,2019-12-07 12:41,ap-northeast-1,ap-northeast-1c,0.035200
