instance_type,time_stump,region,zone,price
m5.large,2019-11-27 06:47,ap-northeast-1,ap-northeast-1c,0.035200
m5.large,2019-11-27 04:20,ap-northeast-1,ap-northeast-1c,0.035100
m5.xlarge,2019-11-27 02:11,ap-northeast-1,ap-northeast-1c,0.073000
m3.large,2019-11-26 22:23,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-26 20:11,ap-northeast-1,ap-northeast-1c,0.149900
m5.xlarge,2019-11-26 19:30,ap-northeast-1,ap-northeast-1c,0.073500
r3.xlarge,2019-11-26 18:05,ap-northeast-1,ap-northeast-1c,0.069400
r5d.xlarge,2019-11-26 07:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.large,2019-11-26 04:20,ap-northeast-1,ap-northeast-1c,0.035100
m3.large,2019-11-26 22:23,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-26 20:11,ap-northeast-1,ap-northeast-1c,0.149900
m5.xlarge,2019-11-26 19:30,ap-northeast-1,ap-northeast-1c,0.073500
r3.xlarge,2019-11-26 18:05,ap-northeast-1,ap-northeast-1c,0.069400
m5.xlarge,2019-11-26 14:37,ap-northeast-1,ap-northeast-1c,0.073700
m5.2xlarge,2019-11-26 13:05,ap-northeast-1,ap-northeast-1c,0.150100
r5d.xlarge,2019-11-26 07:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-11-26 07:14,ap-northeast-1,ap-northeast-1c,0.073900
m5.large,2019-11-26 04:20,ap-northeast-1,ap-northeast-1c,0.035100
m5.2xlarge,2019-11-26 01:06,ap-northeast-1,ap-northeast-1c,0.150800
m5.xlarge,2019-11-25 23:59,ap-northeast-1,ap-northeast-1c,0.074100
m3.large,2019-11-25 22:22,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-25 22:06,ap-northeast-1,ap-northeast-1c,0.150600
r3.xlarge,2019-11-25 18:05,ap-northeast-1,ap-northeast-1c,0.069400
r5d.xlarge,2019-11-25 07:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.large,2019-11-25 04:20,ap-northeast-1,ap-northeast-1c,0.035100
m5.xlarge,2019-11-25 23:59,ap-northeast-1,ap-northeast-1c,0.074100
m3.large,2019-11-25 22:22,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-25 22:06,ap-northeast-1,ap-northeast-1c,0.150600
m5.2xlarge,2019-11-25 20:21,ap-northeast-1,ap-northeast-1c,0.150600
r3.xlarge,2019-11-25 18:05,ap-northeast-1,ap-northeast-1c,0.069400
m5.xlarge,2019-11-25 16:53,ap-northeast-1,ap-northeast-1c,0.074600
m5.2xlarge,2019-11-25 15:28,ap-northeast-1,ap-northeast-1c,0.150500
m5.xlarge,2019-11-25 11:52,ap-northeast-1,ap-northeast-1c,0.074800
m5.2xlarge,2019-11-25 11:30,ap-northeast-1,ap-northeast-1c,0.150200
r3.xlarge,2019-11-25 10:11,ap-northeast-1,ap-northeast-1c,0.069400
m5.2xlarge,2019-11-25 09:21,ap-northeast-1,ap-northeast-1c,0.150200
r5d.xlarge,2019-11-25 07:30,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-25 07:29,ap-northeast-1,ap-northeast-1c,0.069500
r3.xlarge,2019-11-25 05:35,ap-northeast-1,ap-northeast-1c,0.069500
m5.2xlarge,2019-11-25 04:20,ap-northeast-1,ap-northeast-1c,0.150100
m5.large,2019-11-25 04:20,ap-northeast-1,ap-northeast-1c,0.035100
m5.large,2019-11-25 02:29,ap-northeast-1,ap-northeast-1c,0.035000
m5.xlarge,2019-11-25 00:34,ap-northeast-1,ap-northeast-1c,0.074700
r5d.xlarge,2019-11-24 23:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-24 23:10,ap-northeast-1,ap-northeast-1c,0.150400
m3.large,2019-11-24 22:22,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-24 19:16,ap-northeast-1,ap-northeast-1c,0.074600
r3.xlarge,2019-11-24 18:59,ap-northeast-1,ap-northeast-1c,0.069600
m5.large,2019-11-24 02:28,ap-northeast-1,ap-northeast-1c,0.035000
r5d.xlarge,2019-11-24 23:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-24 23:10,ap-northeast-1,ap-northeast-1c,0.150400
m3.large,2019-11-24 22:22,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-24 19:16,ap-northeast-1,ap-northeast-1c,0.074600
r3.xlarge,2019-11-24 18:59,ap-northeast-1,ap-northeast-1c,0.069600
m5.2xlarge,2019-11-24 17:44,ap-northeast-1,ap-northeast-1c,0.150800
r3.xlarge,2019-11-24 13:33,ap-northeast-1,ap-northeast-1c,0.069700
m5.xlarge,2019-11-24 11:53,ap-northeast-1,ap-northeast-1c,0.074400
m5.2xlarge,2019-11-24 10:55,ap-northeast-1,ap-northeast-1c,0.151100
m5.xlarge,2019-11-24 06:10,ap-northeast-1,ap-northeast-1c,0.074100
r3.xlarge,2019-11-24 06:02,ap-northeast-1,ap-northeast-1c,0.069800
m5.large,2019-11-24 02:28,ap-northeast-1,ap-northeast-1c,0.035000
r5d.xlarge,2019-11-23 23:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-11-23 23:12,ap-northeast-1,ap-northeast-1c,0.073900
m5.2xlarge,2019-11-23 22:55,ap-northeast-1,ap-northeast-1c,0.150900
m3.large,2019-11-23 22:22,ap-northeast-1,ap-northeast-1c,0.031700
r3.xlarge,2019-11-23 15:57,ap-northeast-1,ap-northeast-1c,0.069900
m5.large,2019-11-23 02:28,ap-northeast-1,ap-northeast-1c,0.035000
r5d.xlarge,2019-11-23 23:30,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-11-23 23:12,ap-northeast-1,ap-northeast-1c,0.073900
m5.2xlarge,2019-11-23 22:55,ap-northeast-1,ap-northeast-1c,0.150900
m3.large,2019-11-23 22:22,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-23 20:50,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-23 16:39,ap-northeast-1,ap-northeast-1c,0.151300
r3.xlarge,2019-11-23 15:57,ap-northeast-1,ap-northeast-1c,0.069900
m5.xlarge,2019-11-23 15:40,ap-northeast-1,ap-northeast-1c,0.073600
m5.2xlarge,2019-11-23 11:30,ap-northeast-1,ap-northeast-1c,0.151200
m5.xlarge,2019-11-23 09:16,ap-northeast-1,ap-northeast-1c,0.073300
r3.xlarge,2019-11-23 08:43,ap-northeast-1,ap-northeast-1c,0.070000
m5.2xlarge,2019-11-23 04:56,ap-northeast-1,ap-northeast-1c,0.150700
m5.xlarge,2019-11-23 03:33,ap-northeast-1,ap-northeast-1c,0.072900
m5.large,2019-11-23 02:28,ap-northeast-1,ap-northeast-1c,0.035000
m5.2xlarge,2019-11-22 23:52,ap-northeast-1,ap-northeast-1c,0.150100
m3.large,2019-11-22 22:22,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-22 21:16,ap-northeast-1,ap-northeast-1c,0.072400
r5d.xlarge,2019-11-22 20:49,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-22 19:51,ap-northeast-1,ap-northeast-1c,0.070100
m5.large,2019-11-22 07:56,ap-northeast-1,ap-northeast-1c,0.035000
m5.2xlarge,2019-11-22 23:52,ap-northeast-1,ap-northeast-1c,0.150100
m3.large,2019-11-22 22:22,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-22 21:16,ap-northeast-1,ap-northeast-1c,0.072400
r5d.xlarge,2019-11-22 20:49,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-22 19:51,ap-northeast-1,ap-northeast-1c,0.070100
m5.2xlarge,2019-11-22 16:31,ap-northeast-1,ap-northeast-1c,0.150000
m5.2xlarge,2019-11-22 16:30,ap-northeast-1,ap-northeast-1c,0.149500
m5.xlarge,2019-11-22 15:15,ap-northeast-1,ap-northeast-1c,0.072300
m5.2xlarge,2019-11-22 11:04,ap-northeast-1,ap-northeast-1c,0.149500
r3.xlarge,2019-11-22 08:34,ap-northeast-1,ap-northeast-1c,0.070200
m5.xlarge,2019-11-22 08:18,ap-northeast-1,ap-northeast-1c,0.072100
m5.large,2019-11-22 07:56,ap-northeast-1,ap-northeast-1c,0.035000
m5.2xlarge,2019-11-22 05:13,ap-northeast-1,ap-northeast-1c,0.148900
m5.2xlarge,2019-11-21 23:05,ap-northeast-1,ap-northeast-1c,0.148600
